nsecode,per_chg,close,date,sector,count,frequency,Piotrski
MRF,-1.25,135770.0,2024-08-14,Tyres,7,1,8
BOSCHLTD,-1.61,31085.0,2024-08-14,Auto Ancillaries,12,2,8
ULTRACEMCO,-2.38,11002.6,2024-08-14,Cement,5,6,8
HEROMOTOCO,-3.3,5072.45,2024-08-14,Automobile,12,3,7
DIVISLAB,-4.11,4662.0,2024-08-14,Pharmaceuticals,13,3,5
INDIGO,-0.41,4209.9,2024-08-14,Air Transport Service,6,1,7
JKCEMENT,-1.56,4107.2,2024-08-14,Cement,7,6,9
ESCORTS,-1.2,3659.5,2024-08-14,Automobile,7,3,8
LT,-0.19,3545.2,2024-08-14,Infrastructure Developers & Operators,8,2,7
NAVINFLUOR,-1.2,3237.6,2024-08-14,Chemicals,5,5,3
GODREJPROP,-0.91,2873.7,2024-08-14,Realty,10,2,2
INDIAMART,-0.97,2673.35,2024-08-14,E-Commerce/App based Aggregator,9,1,9
SRF,-1.16,2491.75,2024-08-14,Chemicals,2,5,4
ACC,-0.99,2281.95,2024-08-14,Cement,5,6,8
METROPOLIS,-1.23,1985.85,2024-08-14,Healthcare,7,1,6
TATACOMM,-0.73,1836.0,2024-08-14,Telecomm-Service,7,1,4
KOTAKBANK,-0.24,1747.9,2024-08-14,Banks,8,6,5
MGL,-3.38,1730.1,2024-08-14,Gas Distribution,7,4,8
DALBHARAT,-0.59,1725.0,2024-08-14,Cement,6,6,6
OBEROIRLTY,-1.66,1716.15,2024-08-14,Realty,8,2,7
BHARATFORG,-0.88,1567.2,2024-08-14,"Castings, Forgings & Fastners",12,1,8
BAJAJFINSV,-0.92,1529.15,2024-08-14,Finance,5,9,5
ADANIPORTS,-1.45,1461.95,2024-08-14,Marine Port & Services,10,1,8
UNITDSPR,-0.01,1403.0,2024-08-14,Alcoholic Beverages,3,1,8
INDUSINDBK,-0.93,1338.1,2024-08-14,Banks,9,6,4
ZYDUSLIFE,-0.42,1170.5,2024-08-14,Pharmaceuticals,4,3,8
TATACONSUM,-0.95,1167.55,2024-08-14,Plantation & Plantation Products,5,1,5
ICICIBANK,-0.57,1161.65,2024-08-14,Banks,4,6,6
MFSL,-1.17,1040.25,2024-08-14,Finance,6,9,6
TATACHEM,-0.78,1019.75,2024-08-14,Chemicals,10,5,5
CONCOR,-0.56,951.4,2024-08-14,Logistics,7,1,6
PEL,-10.45,882.4,2024-08-14,Finance,6,9,6
RAMCOCEM,-0.9,782.15,2024-08-14,Cement,8,6,7
SBICARD,-0.33,689.65,2024-08-14,Finance,6,9,4
MARICO,-1.56,650.25,2024-08-14,Edible Oil,6,1,6
GNFC,-1.28,649.7,2024-08-14,Chemicals,11,5,5
AMBUJACEM,-0.19,623.2,2024-08-14,Cement,5,6,7
AARTIIND,-3.57,599.0,2024-08-14,Chemicals,3,5,6
GUJGASLTD,-0.55,592.5,2024-08-14,Gas Distribution,6,4,6
RECLTD,-0.92,563.7,2024-08-14,Finance,5,9,6
COALINDIA,-3.27,504.7,2024-08-14,Mining & Mineral products,4,3,7
EXIDEIND,-1.28,486.2,2024-08-14,Auto Ancillaries,12,2,6
CHAMBLFERT,-0.79,486.05,2024-08-14,Fertilizers,12,1,8
CROMPTON,-1.77,428.55,2024-08-14,Consumer Durables,6,1,5
VEDL,-0.51,420.2,2024-08-14,Mining & Mineral products,10,3,4
TATAPOWER,-0.69,405.45,2024-08-14,Power Generation & Distribution,14,2,7
INDUSTOWER,-0.56,403.05,2024-08-14,Telecomm Equipment & Infra Services,8,1,7
PETRONET,-1.02,364.35,2024-08-14,Gas Distribution,6,4,7
POWERGRID,-1.02,333.5,2024-08-14,Power Generation & Distribution,8,2,8
ONGC,-2.31,328.15,2024-08-14,Crude Oil & Natural Gas,6,1,8
BIOCON,-2.8,327.65,2024-08-14,Pharmaceuticals,7,3,7
BEL,-0.83,293.7,2024-08-14,Aerospace & Defence,7,1,8
M&MFIN,-0.72,287.9,2024-08-14,Finance,6,9,3
ASHOKLEY,-2.09,246.45,2024-08-14,Automobile,6,3,5
GAIL,-0.22,226.66,2024-08-14,Gas Distribution,8,4,6
NMDC,-6.02,210.94,2024-08-14,Mining & Mineral products,9,3,6
ABCAPITAL,-2.03,203.47,2024-08-14,Finance,11,9,3
BANDHANBNK,-1.36,189.99,2024-08-14,Banks,7,6,5
IEX,-1.14,185.81,2024-08-14,Financial Services,5,1,8
NATIONALUM,-2.82,165.09,2024-08-14,Non Ferrous Metals,8,1,8
IOC,-0.23,163.74,2024-08-14,Refineries,9,1,7
LTF,-1.16,160.46,2024-08-14,Finance,6,9,6
TATASTEEL,-1.82,146.17,2024-08-14,Steel,10,2,3
SAIL,-2.27,125.23,2024-08-14,Steel,10,2,7
IDFC,-0.47,105.78,2024-08-14,Finance,12,9,7
CANBK,-0.97,105.65,2024-08-14,Banks,7,6,7
GMRINFRA,-2.19,92.73,2024-08-14,Infrastructure Developers & Operators,3,2,6
IDFCFIRSTB,-1.08,70.6,2024-08-14,Banks,10,6,5
